title,platform,psd_URL,icon_URL,price,status
Rally Racing: Cars and Drift Mania,PS4,https://psdeals.net/ua-store/game/2647143/rally-racing-cars-and-drift-mania,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP5864-CUSA45151_00-0631179376943198/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,329.00₴,-1
Into The Sky,PS4,https://psdeals.net/ua-store/game/2647142/into-the-sky,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP6556-CUSA41127_00-0260172860607082/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,329.00₴,-1
Enchanted Portals,PS5,https://psdeals.net/ua-store/game/2647141/enchanted-portals,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP3446-PPSA17144_00-0968446461238286/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,649.00₴,-1
TOSS!,PS5,https://psdeals.net/ua-store/game/2647140/toss,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP3392-PPSA16099_00-0852952590324702/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,649.00₴,-1
Warstride Challenges,PS5,https://psdeals.net/ua-store/game/2647139/warstride-challenges,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP4133-PPSA08208_00-WARSTRIDECHALLEN/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,649.00₴,-1
Walkabout Mini Golf,PS5,https://psdeals.net/ua-store/game/2647138/walkabout-mini-golf,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP7436-PPSA13903_00-0103109616815148/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"1,399.00₴",-1
Walkabout Mini Golf,PS5,https://psdeals.net/ua-store/game/2647138/walkabout-mini-golf,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP7436-PPSA13903_00-0103109616815148/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"1,399.00₴",-1
Walkabout Mini Golf,PS5,https://psdeals.net/ua-store/game/2647138/walkabout-mini-golf,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP7436-PPSA13903_00-0103109616815148/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"1,399.00₴",-1
Walkabout Mini Golf,PS5,https://psdeals.net/ua-store/game/2647138/walkabout-mini-golf,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP7436-PPSA13903_00-0103109616815148/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"1,399.00₴",-1
Walkabout Mini Golf,PS5,https://psdeals.net/ua-store/game/2588616/walkabout-mini-golf,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP7436-PPSA13903_00-0572855605082469/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,819.00₴,-1
Walkabout Mini Golf,PS5,https://psdeals.net/ua-store/game/2588616/walkabout-mini-golf,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP7436-PPSA13903_00-0572855605082469/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,819.00₴,-1
Walkabout Mini Golf,PS5,https://psdeals.net/ua-store/game/2588616/walkabout-mini-golf,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP7436-PPSA13903_00-0572855605082469/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,819.00₴,-1
Walkabout Mini Golf,PS5,https://psdeals.net/ua-store/game/2588616/walkabout-mini-golf,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP7436-PPSA13903_00-0572855605082469/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,819.00₴,-1
Walkabout Mini Golf,PS5,https://psdeals.net/ua-store/game/2588611/walkabout-mini-golf,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP7436-PPSA13903_00-0876001597388667/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,489.00₴,-1
Walkabout Mini Golf,PS5,https://psdeals.net/ua-store/game/2588611/walkabout-mini-golf,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP7436-PPSA13903_00-0876001597388667/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,489.00₴,-1
Walkabout Mini Golf,PS5,https://psdeals.net/ua-store/game/2588611/walkabout-mini-golf,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP7436-PPSA13903_00-0876001597388667/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,489.00₴,-1
Walkabout Mini Golf,PS5,https://psdeals.net/ua-store/game/2588611/walkabout-mini-golf,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP7436-PPSA13903_00-0876001597388667/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,489.00₴,-1
Lempo,PS5,https://psdeals.net/ua-store/game/2647137/lempo,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP1302-PPSA13681_00-0555354652872714/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,799.00₴,-1
Alchemy Garden,PS5 / PS4,https://psdeals.net/ua-store/game/2645656/alchemy-garden,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP3111-PPSA16068_00-JANDUSOFT0000001/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,419.00₴,-1
Thief: Master Thief Edition,PS4,https://psdeals.net/ua-store/game/2645591/thief-master-thief-edition,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP0082-CUSA00250_00-0296025532529788/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,819.00₴,-1
A Robot Named Fight!,PS4,https://psdeals.net/ua-store/game/2645655/a-robot-named-fight,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP7943-CUSA44782_00-0416976254439809/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,589.00₴,-1
